番号,身長,体重
1,46,2700
2,49.5,3220
3,50,3360
4,50,3500
5,49,3120
6,50,3160
7,53,4150
8,48,3310
9,49,2880
10,50.5,3090
11,49.5,3020
12,49,3360
13,50,3110
14,50,3560
15,47.5,2990
16,50.5,3440
17,48,2920
18,49,3060
19,49,3360
20,50,3400
21,48,3200
22,50.5,2940
23,48.5,2850
24,50.5,3220
25,48.5,2750
26,49,3020
27,48.5,2570
28,48.5,3030
29,45,2410
30,51,3280
31,50.5,3140
32,49,3040
33,52,3910
34,50,2770
35,46.5,2340
36,50,3140
37,50.5,3560
38,50,3390
39,50,3420
40,51,3450
41,49.5,3590
42,48.5,2830
43,48,3120
44,51,3190
45,50,3600
46,47,2980
47,50,3090
48,51,3630
49,53,4060
50,50,3720
51,50,3400
52,50.5,3430
53,51,3250
54,48,2760
55,50,3320
56,49,2930
57,50,3320
58,48,2620
59,47.5,2860
60,48,2530
